,title + body
883,"Oh this looks like 10,000 won"
884,Yoo Young-doo is the only one who needs to support him.
885,"Change to Jung Yu-Ju, who is doing nothing here and there."
886,Seventy thousand cacao hahaha I'm going to die
887,"If druids and drews and ants come together, that's a force. Please join the sell-off movement."
888,"Sooner or later, wait for Kakao"
889,"Guys, tomorrow is a surprise"
890,"ㅋㅋ I'm laughing, CEO Seri sells it as soon as it goes public and sells it as soon as it goes public. It's a stock trading company that divides one company into more than one share."
891,It has become a full-fledged stock.
892,"Hey, Chilcao is over the line. To be honest, I'm not Chilcao. We're all going to die together haha."
893,It's good compared to Naver. Look at Naver. It's a cold wind. It's almost ruined.
894,Gaekao must be desperate
895,Do you know the theme of Kakao Moon Jae-in now?
896,"When the stock price rises, if it rises to a certain extent, it will be divided and sold"
897,"It's still a long way away, Kakao Shopping Kakao Mobility Kakao Webtoon Kakao Hurry up listing more"
898,Does it make sense to give a financial license to this garbage company? Munpa take responsibility and restore it.
899,Just close the business. What kind of listed company is this?
900,Tonaone's dog catcher.
901,Ant meat shield is coming hahahahahahahahahahahahahahaha
902,"Let's go to Mancao, it's hot"
903,"Haha I'm afraid I can't play the children's short sale who writes that it should be lowered here, so if you go somewhere malicious comments, they'll pay attention, so hit the short sale because you like it. I'm anxious because I want to buy it now, if I want to buy it now haha Why can't I buy it because I'm afraid I can't buy it I can't even sell it."
904,I'll finally see you
905,Escape is intelligent
906,A word to my short-selling kids. You have to eat the most in short-selling. Pro-go loss is not close to infinity. Do you know whether it is crushed quietly or eats a few pennies and turns it off?
907,Look at the Gachao Chart of prohibited items
908,Until the end of this month
909,Until when are you going to hit it?
910,"Oh, last time I got water from , and after getting water from , I got out on Friday. Why am I so comfortable?"
911,Abandon the ship Titanic is sinking
912,Kakao won that I ate my money
913,"On a daily basis, I don't talk much."
914, wait haha
915,"If you think about it, the market cap is too heavy. As all the platforms are going out to affiliates, there are all the conditions for the market cap of holding companies to decrease."
916,The tempo is right
917,"While monopolizing the domestic market with institutional preference, Yoon does not give manufacturing preference, so you have to pay the price for licking it like that."
918, No one thinks this is the only line of support
919,Short cover is coming in.
920,"Now I've stayed at 10,000 won for a long time Now it's time to go to Kakao"
921,"Here, too, what to do with short selling Let's eradicate short selling."
922,Premonition of a collapse in the curtain board
923,"When I ate Hangang Gaza Shiba Pro, I sold it, a dog-like stock"
924,Here are some questions from hyungs who are good at stocks. What is the right price to enter?
925,It's really too much.
926,"There is nothing to eat again, twice, twice, twice"
927,"Nigimi, just shut it down."
928,"A while ago, Yeomvely recommended that I buy Kakao again hahaha At that time, the price was in the mid-10,000s, but Yeombly really likes all kinds of items hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha"
929,We recommend stocks Select one of Celltrion Hanmi Pharm Uniquest set and invest over the medium term to earn at least a minimum of years of experience
930,Cao Kage Nya Falcao Give me some shooting
931,"Please raise the dividend, it's too tight"
932,"Please raise the dividend. Shareholders are very angry, so next year, Beom-soo is very excited and will raise the dividend pro."
933, Look at the supply and demand of the ants ㅋㅋ Is it a true story?
934,buy in fear
935,Cabin is strong these days. Cacao is near the new low.
936,"Let the wind blow, come a little bit more, Nilliriya, Nilliriya, nano, if you betray Algiers"
937,"Do you eat cherry rice? You're a YouTuber lol keke finance keke In my eyes, it's a cherry tree Heo Kyung-young keke"
938,You have to go down to the market leader to find your place to some extent.
939,Jeolla-do
940,The fair price of Kakao won is too much to split. What is the stock price after separating the Pay Games bank?
941,"Short Selling and Owner-Risk Nuclear War. I'm not going to get rich, I'm not going to become a stylist, I'm mentally broken."
942, Samsung Electronics Kakao Essol Explosive Ants Future strategy is to survive
943,Cabin is on the rise.
944,"But I couldn't stand it and sold all of it. I don't know if I did well, but it's a bit bitter"
945,10 million won is still expensive
946,Let's all do our best to predict the closing price
947, CEO Nam Goong-hoon is also rich. Congratulation congratulations
948,Beekeeping Closing
949,"There are a lot of people saying that cacao will drop in the morning, but why don't you short sell it?"
950,"As if it was a good thing that the won was fully accustomed to it earlier, the treasury stock split will continue. Is it meaningful to hold on?"
951,"Not the bottom yet, this is a fake"
952,Heh Gudramerhano dead balls should be beaten
953,"A company that doesn't even work for its employees kekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekekeumyo have sold out at the highest point, I've been here for a long time."
954,I wish the stock market would stop falling I wish the stock market would stop falling
955,There is no hope for the critics.
956,"I have a minute left, hurry up, hurry up and let's go"
957,The dog shit is over hahaha
958,Let's get started
959,"They are beating all year round The shareholders are being beaten all year round, but CEO Bum Soo-rang is sleeping"
960,The target is expected to be won in the course of a year
961,Sudden cancer The moment you buy stock Hair loss Nervous breakdown Depression Shorten lifespan Dog hair Kao
962,"ㅋㅋ Kakao still has a long way to go to compact the floor, but it looks like it has to be watered again in the beginning, making ants a major shareholder"
963,"It's still in the 10,000 won range because it's divided into parts. It's expensive."
964,Kakao ㅆ ㅓ Article Is it good that you suck my money and raise your salary?
965,Haha Institution Seungsam Battle Two Battles
966,Those who bought today seem to have bought at a low point
967,There is a lot of variability in how your witch will deal with monsters.
968,"When is it going up, the oil flow is going up"
969,I got water today
970,"Open your mouth wide in Gekao One, Lee Seo-Yoo kekeyareyare ke"
971,With the lower tail dalgu beekeeping
972,Buy grass on a gold spoon
973,It's skyrocketing after hours.
974,"Ants, just keep it. Don't be afraid to buy and sell."
975,What is the closing price bulk transaction?
976,I'm scraping around the bay and buying it in the middle ㅇㅋ Raised ring
977,"Doosan Bobcat's quarterly dividend payouts are 10,000 won, so there are only a lot of stocks."
