	제목+본문
1381	개미 벌레들만 사네장투벌레되는 거지
1382	내일 지지선 무너지면 알제폭락먼저 던지는 놈이 승자다
1383	추세가 하락세로 돌아서면어디까지 내려갈지 아무도 몰라
1384	액분전가격현재원
1385	만원대도 갈 듯봉우리가 높으면 골도 깊다
1386	예견된 일무작정 돈찍어서 풀어대더니 화폐가치는 휴지조각에그로인해 물가는 오르고주식시장은 묻지마 버블에 대부분 어떤 주식이든 프로이상 오르고그후 주식하면 돈번다는 소문에 너도나도 엄청나게 개미들 뛰어들고주식버블장에 들어왔던 개미들 묻지마식 엄청나게 올랐던 주가 이제 제자리로 돌아가려하니 손실은 어마어마하고  문제는 코로나 터지고 묻지마식으로 오른 주가들 아직 절반도 안빠진 사실즉 올하반기까지 주가 제자리로 찾으면 손실은 더 불어나겠지
1387	년 월 카카오 주가 마넌셀트리온 년 월 만원셀트는 이미 코로나 전 가격대로 하락했고카카오도 이제 제자리로 갈 듯
1388	송영길이 아가리 함부로 놀리더니이게 계기가되어 결국 여기까지 오게되는구나 이것저것 눈치보게되니 경영이 되겠나 외국으로나가라고 어디 그게쉽나 년 장기계획이지카카오가 고전하는 이유입니다 새 정부는 제발 이러지 마세요 미래를 열어가는 산업과 사업인데
1389	핏줄은 주적이요 침략자는 동맹이란 역적들년 남북 통일로 동북아 괴물로 거듭날 것 미국  와 러시아 연구소 예측그러나 국운이었던가 우리가남이가 저주였나 이명박근혜로 시대는 거꾸로통일초석 금강산 개성공단은 폐쇄되고 끝없는 핏줄간 극한대결의 양키 부역질년간 옥죄어 경제난에 재고무기 감당못해 핵을 보유하였지만 전쟁수행력없는 북한그런 송장 무서워 살수없고 대학생이 유치원생 동생 무섭다 조폭에 하루 억씩 상납끔찍한 안보사기로 점령통치를 조장하는데 핏줄은 주적 침략자는 동맹이란 부역질지구상 유일한 전작권 없는 양키 괴뢰 형태의 치욕적인 한국군한국은 전시에 할 수 있는 것은 하나도 없습니다 점령군 술책의 부역질 만이 유일한 것그런 치욕을 모른체 선제공격 원점 타격을 외치는 미필의 코미디 같은 객기만 난무더힐이라고 하는 군사잡지에서한반도의 전쟁발발 가능성이 높아지고 있다그 중에 가지 중에 한 원인이 윤석열로 외국에서 그렇게 걱정하고 있었습니다북에 돈주고 총 쏴달란 알려진 꼼수는 끝 이제는 상상조차 어려운 안보사태로향 후 육 해 공에서 끔찍한 안보사태가 일정 빈발할 것이니 지켜봅시다주가 시대를 외치던 실물 지도자와 편견에 사로잡힌 폭탄주 검새 출신의 차이는달라진 환경에서 후회할 것입니다 국익을 위한 현명한 외교로 주변국과 선린우호가얼마나 큰 축복인지 정치 초보 지도자 우크라에서 보았듯 대재앙만이 보입니다
1390	 엉뚱한 추정금요일에 스톡옵션 만주를 전혀 내다팔지 않았다미리 주식 만주로 주가를 인위적으로 하락시켜 놓고쩌억 입을 벌리고 있던 외인및 기관들은 헛탕치고 말았다 뻘쭘스톡옵션은 회사사정을 가장 잘 알고있는회사 임원등에게 쥐어주는 매우커다란 혜택이다그런데 그들은 현싯점에서 한주도 내다 팔지 않았다그 이유는이 쌔끼들우리들이 그렇게 궁색한 형편인줄 알아원이상으로 되돌려 놓기 전에는 안판다 안 팔아젠장야  회사의 발전확장성이나순이익의 증가폭을 볼때만은 물론 갈꺼야다만 그 시기가 개월후 인지 년 후인지는 모르지만그때까지 기다리지뭐어뭐가 급하다고제일 떨어져있는 지금 파냐기다리는게 돈 버는건데 미쳤냐 회사 가 원을 장담하는데무언가 믿고 그럴꺼야그 말만 믿고 원이 올때까지 기다렸다가 팔지뭐그 일환으로 월요일에 싱가폴에서 해외투자유치도 진행 된다고 하는데좀더 눈치를 보지뭐ㅎㅎ지금은 너무 떨어져 있어 눈치보다가 다음주 이후에 전반적으로 상승기운이 팽배할때에마구 내지르더라도 주가는 떨어지지않고 팔수 있을 거야 그대 팔지 뭐물론 가장 안좋은 씨나리오는 번오버행그 이외의 공허한 추정은 모두모두 ㅋㅋㅋㅋㅋㅋ
1391	시간외대량거래가 블록들이라구시장조성자야유치원생들모여놓고 병원놀이하냐국내기관들에게 할인된가격오늘주가가 만원종가다그러면 원에 할인된가격으로 넘기는형식의거래아냐공매도가창궐하는시장에서 이 제도가이게제도냐 어떻게 악용될지는 뻔한것아니냐대량거래발생시켜수수료폭증되고싼가격에받아서 낼롬팔아치우면 차익생기고공매도것들은 이게왠떡이냐하고그리고유상증자가 무슨 선물상품이냐 선물옵션이야왜 유상증자하지도않았는데권리행사어쩌구 저쩌구하냐고니네들이짠니그냥 국내기관이라고하지말고시장의제왕자들이라고해무엇때문에 우리인류사회는 오만것들을 인문학사회분야것들에게 맡겨야하는건데그것도 제도적으로  왜 이따구시장에서 수탈착취뉘앙스환경에 푹 잘도 쩔어있으면서국가에서 세금내라고하면 머 죽는시늉들하고애국 랄지를해라종목들챠트에서특히인수합병한다고소문난회사들블록딜하는회사들액분하는회사들전환사채발행회사들대호재급재료발생된회사들인적물적분할회사들한회사들이런이슈 종목들 챠트들봐라먼 쌍딩이들이냐주식시장 공식이야삥 룰이야이런이슈들죄다가 국내기관들 갠세이  낑겨비즈니스모듈하는 그런 이슈들아니냐
1392	카카오도 주일 하려나포괄임금 폐지 후에도 이익이 고대로라면카카오는 사업성이 있는 것
1393	삭제된 게시물의 답글아직도 혹시 손절유영두 회원들이그넘이 만언대 사라고손실이 어ㄱ 가까이
1394	증시버블개월글 필독 소름 ㄷ개월전부터거시적경제에 대해서 하락근거 이유에 대해 말씀드렸는데주구장창 욕만 먹었죠 ㅜㅜ심지어 패드립까지누누히 말했지만 개구리탕이라 했는데딱 맞았쥬껄껄이제 본격 하락장 시작될거라 보여집니다마음 단디 먹으세요가끔씩 저 욕하시는 분들 있는데제가 주가 하락시켰나요이전글들 보면 비중축소 하락배팅 현금화 같이 하자 했는데 헤헤헤헤헤헤헤헤헤헤ㅔ헤헤헤헤헤헤헤헤헤헤이번년도 매수 추매 금지알겠으면 인정 써보세요
1395	삭제된 게시물의 답글아직도 혹시 손절유영두 회원들이이름부터 손절 ㅋㅋ
1396	잣된것 같네요롱충이였던 저도 이젠 숏충이 되어버렸음 이번 정부가 규제를 풀던 말던 세계경제가 골로가게 생겼으니 에효 반등을 주지 내려꽂을진 모르겠지만 카카오 네이버 익절 칠렵니다 그래도 익절이라는게 정말 신기하지만 이번에도 세삼 느끼는거지만 저같은 허접은 상승장때만 해야 큰돈을 얻는구나 하고 또한번 느낌 작년에 올 익절했으면 에효 ㅎ
1397	카카오시초부터 강물처럼 어디론가 흘러갑니다 종가는  마감한다
1398	미장 오를때 올랐나금요일 미장 폭락시 우리 야간선물은  초반정도 떨어졌다 그만큼 우리 증시는 탈탈 털린지가 오래되어서 떨어지는 것도 한계가 있다는 애기이다 카카오 신저가 찍었고 큰폭의 하락은 제한적일것이다 인플레이션 영향도 제한적으로 보인다 임금인상은 이미 반영이 되었고 여러 악조건도 충분히 반영되었다 현정부는 기업친화적이다 법인세 인하도 검토중이란 뉴스도 있고 월 가 끝나면 불확실성해소로 미증시도 반등시도를 할것이라 본다사측에서도 수수방관은 안할것이다 뭔가 대책을 강구할것이다 주주친화적 액션이 나올 타이밍이라 생각된다
1399	법인세율인하 에서  윤정부국내성장주는 네이버 카카오 주가상승인지 모르겠넹
1400	중국에 나라 팔아먹을 카카오 그룹은 손절이다문재앙 년동안 카카오그룹이 친중하면서 엄청 혜텍 받았지기업 분할 상장 문재앙 정권이 밀어준 카카오그 피 눈물은 대한민국 개미들이 다 흘리네중국 알리페이는 지난 일 카카오페이 보유 지분 중 약  가량인 만주를 블록딜로 매각했다 카카오페이 총 발행 주식의  수준이다 알리페이는 이번 매각으로 약 억원의 차익을 거둬 초기 투자금을 회수했다 과거 알리페이는 약 억원을 투자해 카카오페이 주식 만주를 취득했다고 전해졌 평단가는 주당 원 가량으로 수익률은 현재 기준 배가 넘는다알리페이는 초기 투자금 회수와 함께 돈방석에 앉았지만 카카오 형제들 주가는 풍비박산이다 카카오페이발 차이나머니 리스크는 카카오의 다른 계열사에도 영향을 끼쳤다 카카오 주가는 일 만원으로 전일대비  하락했다 장중 만원까지 떨어져 주 신저가를 다시 기록하기도 했다 지난달 일에 이어 약 한 달만이다
1401	 실화냐 바라보냐 ㅋㅋㅋ 개잡주 개카오또 눈치보며 물적분할 들어가야제 ㅋㅋ
1402	목표가 카오였는데카오 변경
1403	영업이익    시가총액조    조지금보다 주가  더 빠져야 적당주가 만원정도가 적당
1404	이딴곳에 투자를하다니난 분할상장 계속할때부터 개쌍욕 박고 나왓다주주들 생각은 안하고 지들끼리 해쳐먹는 기업이다 이딴곳을 투자를해니들 업보다지금도 존나 비싸
1405	카카오 구글퇴출위기 뉴스나왔는데 ㄷㄷㄷㄷㄷㄷㄷㄷ님들 개잦된거아님ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1406	윤도리 당선되더니 주가만 추풍낙엽이네ㅋㅋ불공정 에도 불구하고 미국은 안그래도 동맹인데 재차 강조하는 어리석음에 북한은 안그래도 주적인데 구태여 또 말한다는 윤무당의 그 어리석음에 중국패싱 관련주들과 선제타격론 분단리스크 대두로 주식 투자자들만 죽을 쓰는구나중국이 한국무역 담당하는데 누굴 탓하랴 주식 투자하면서 윤도리 짝짝꿍 정치 신출내기를 뽑았으니 우크라이나 봐바라 신출내기 잘못 뽑아 국민들 개고생하잖아ㅋ 도대체 윤무당 무뇌아 이늠은 어떻게 사시 패스했지 컨닝했나ㅋㅋㅋ신냉전이 도래해봐야 한반도는 강대국의 대리전이 되어 한국증시 쪽박찬다검찰사위 뒷배경 삼아 쥐박이보다 더 큰 물욕 욕심쟁이 신도시급 땅투기 장모에 주가조작 영부인에 북을 주적으로 선제타격 운운하는 강성 윤무당의 등장에 제의 라도 나면 조선인들 우크라이나 국민들처럼 개고생할거다ㅋㅋ 상대가 나를 주적으로 보는데 그 상대인 북한은 가만 있겠냐 미국에 벌벌기는 사대주의 외교 하지말고 글로벌화 국제화시대 국격에 맞는 균형외교 해야지 내가 그래서 나는 하나만 알고 둘은 모르는 무뇌아 보수들 혐오한다주식 투자한다면서 윤무당 찍은 무뇌아들은 접시물에 코 박고 반성해라ㅋㅋ
1407	카카오는 낼얼마나 빠질까 원 가려나
1408	만원오면 매수들갑니다곧올거같네요
1409	낼 깨까오 저점이탈 장대음공 분수쇼 보는 날주주엿먹인 그룹의 최후를 보겠네요개꼬심깨까오이제 만이 년 목표가되겠습니다물론 자회사 상장 주주피빨기대가로 만 깨카오 가겠지만요
